source,target,value,Type
azure,.net,20.93319235,undirected
sql-server,.net,32.32252422,undirected
asp.net,.net,48.40702996,undirected
entity-framework,.net,24.37090251,undirected
wpf,.net,32.35092522,undirected
linq,.net,20.50174386,undirected
wcf,.net,28.07440043,undirected
c#,.net,62.16789504,undirected
tdd,agile,37.14658992,undirected
codeigniter,ajax,23.19190041,undirected
jquery,ajax,50.56672862,undirected
mysql,ajax,24.80008942,undirected
css,ajax,26.61371372,undirected
php,ajax,28.01067926,undirected
javascript,ajax,24.39914442,undirected
json,ajax,32.94744601,undirected
cloud,amazon-web-services,21.3186068,undirected
azure,amazon-web-services,21.30994959,undirected
devops,amazon-web-services,24.9835312,undirected
docker,amazon-web-services,32.19807101,undirected
ios,android,39.77803623,undirected
android-studio,android,33.66108318,undirected
java,android,50.98473077,undirected
android,android-studio,33.66108318,undirected
typescript,angular,31.03648178,undirected
typescript,angular2,38.87998223,undirected
angularjs,angular2,26.03269716,undirected
ionic-framework,angularjs,29.84044577,undirected
reactjs,angularjs,31.6202023,undirected
mongodb,angularjs,31.51071117,undirected
css,angularjs,22.21041304,undirected
sass,angularjs,20.42587842,undirected
twitter-bootstrap,angularjs,24.15368586,undirected
javascript,angularjs,39.37662666,undirected
express,angularjs,24.43382881,undirected
node.js,angularjs,47.56352703,undirected
jquery,angularjs,30.34794743,undirected
asp.net-web-api,angularjs,20.11309966,undirected
angular2,angularjs,26.03269716,undirected
html5,angularjs,23.08266402,undirected
nginx,apache,48.58317346,undirected
mysql,apache,29.09783455,undirected
linux,apache,28.16821301,undirected
scala,apache-spark,50.79184563,undirected
hadoop,apache-spark,59.82678558,undirected
rest,api,22.17558911,undirected
.net,asp.net,48.40702996,undirected
sql,asp.net,21.67226461,undirected
sql-server,asp.net,59.67328949,undirected
c#,asp.net,80.44854217,undirected
asp.net-web-api,asp.net,47.38627216,undirected
jquery,asp.net,28.72317822,undirected
entity-framework,asp.net,48.11366909,undirected
mvc,asp.net,22.82841216,undirected
azure,asp.net,23.764073,undirected
wpf,asp.net,28.15902334,undirected
linq,asp.net,31.58127775,undirected
wcf,asp.net,40.95142173,undirected
vb.net,asp.net,23.71134628,undirected
asp.net,asp.net-web-api,47.38627216,undirected
azure,asp.net-web-api,21.58569476,undirected
c#,asp.net-web-api,26.74882155,undirected
angularjs,asp.net-web-api,20.11309966,undirected
sql-server,asp.net-web-api,25.67647418,undirected
wcf,asp.net-web-api,28.35653543,undirected
entity-framework,asp.net-web-api,31.1834951,undirected
.net,azure,20.93319235,undirected
c#,azure,22.14448701,undirected
asp.net-web-api,azure,21.58569476,undirected
asp.net,azure,23.764073,undirected
amazon-web-services,azure,21.30994959,undirected
linux,bash,38.88811575,undirected
shell,bash,24.71706557,undirected
git,bash,27.09695713,undirected
jquery,bootstrap,22.40615465,undirected
css,bootstrap,24.7103126,undirected
c++,c,80.89104614,undirected
python,c,22.32043225,undirected
embedded,c,28.40364777,undirected
java,c,26.0494593,undirected
linq,c#,25.22293164,undirected
sql,c#,25.61390362,undirected
asp.net,c#,80.44854217,undirected
asp.net-web-api,c#,26.74882155,undirected
entity-framework,c#,30.72842558,undirected
vb.net,c#,25.18513596,undirected
.net,c#,62.16789504,undirected
sql-server,c#,45.91465124,undirected
xamarin,c#,24.67314755,undirected
azure,c#,22.14448701,undirected
wpf,c#,38.95749218,undirected
unity3d,c#,25.00023347,undirected
wcf,c#,29.29988003,undirected
visual-studio,c#,27.71554343,undirected
qt,c++,30.14466003,undirected
c,c++,80.89104614,undirected
java,c++,23.20109566,undirected
python,c++,24.30104567,undirected
amazon-web-services,cloud,21.3186068,undirected
mysql,codeigniter,22.59688593,undirected
jquery,codeigniter,26.72977131,undirected
laravel,codeigniter,31.65870932,undirected
php,codeigniter,37.40149646,undirected
ajax,codeigniter,23.19190041,undirected
wordpress,codeigniter,25.13313077,undirected
ajax,css,26.61371372,undirected
mysql,css,27.01062249,undirected
photoshop,css,20.85572142,undirected
jquery,css,66.6742057,undirected
html,css,126.5711271,undirected
javascript,css,75.5366001,undirected
html5,css,87.13826986,undirected
bootstrap,css,24.7103126,undirected
twitter-bootstrap,css,31.5640551,undirected
less,css,25.34053532,undirected
wordpress,css,31.26482467,undirected
angularjs,css,22.21041304,undirected
sass,css,40.96336127,undirected
php,css,51.44760491,undirected
amazon-web-services,devops,24.9835312,undirected
docker,devops,24.55420282,undirected
jenkins,devops,23.60258761,undirected
python,django,49.90594295,undirected
flask,django,42.33664314,undirected
postgresql,django,22.48925264,undirected
amazon-web-services,docker,32.19807101,undirected
go,docker,28.37540591,undirected
devops,docker,24.55420282,undirected
jenkins,docker,26.5286076,undirected
wordpress,drupal,24.91929618,undirected
maven,eclipse,25.31465945,undirected
redis,elasticsearch,29.34909868,undirected
mongodb,elasticsearch,20.22800686,undirected
c,embedded,28.40364777,undirected
.net,entity-framework,24.37090251,undirected
wpf,entity-framework,24.22820186,undirected
asp.net,entity-framework,48.11366909,undirected
sql-server,entity-framework,32.62377909,undirected
linq,entity-framework,54.00592956,undirected
wcf,entity-framework,32.81595165,undirected
asp.net-web-api,entity-framework,31.1834951,undirected
c#,entity-framework,30.72842558,undirected
vba,excel,45.26074988,undirected
excel-vba,excel,54.50523563,undirected
vba,excel-vba,49.61621728,undirected
excel,excel-vba,54.50523563,undirected
reactjs,express,31.92427259,undirected
redux,express,21.54345842,undirected
angularjs,express,24.43382881,undirected
node.js,express,58.82907662,undirected
mongodb,express,48.76806081,undirected
python,flask,25.25137186,undirected
django,flask,42.33664314,undirected
jenkins,git,23.07544015,undirected
github,git,56.20246392,undirected
bash,git,27.09695713,undirected
linux,git,27.70879277,undirected
git,github,56.20246392,undirected
docker,go,28.37540591,undirected
scala,hadoop,21.62593446,undirected
apache-spark,hadoop,59.82678558,undirected
scala,haskell,22.75744001,undirected
jsp,hibernate,39.40694599,undirected
java,hibernate,32.5235651,undirected
spring-boot,hibernate,30.23290371,undirected
maven,hibernate,34.10005202,undirected
rest,hibernate,21.64666788,undirected
web-services,hibernate,21.21095693,undirected
spring-mvc,hibernate,64.10989821,undirected
java-ee,hibernate,39.90817379,undirected
spring,hibernate,103.2682845,undirected
mysql,html,21.35568889,undirected
javascript,html,59.75548884,undirected
php,html,45.66104088,undirected
css,html,126.5711271,undirected
sass,html,23.63952924,undirected
jquery,html,44.23362023,undirected
php,html5,32.35050692,undirected
wordpress,html5,22.21644075,undirected
javascript,html5,47.00636376,undirected
angularjs,html5,23.08266402,undirected
less,html5,20.92318767,undirected
twitter-bootstrap-3,html5,22.16103641,undirected
jquery,html5,47.49277339,undirected
css,html5,87.13826986,undirected
twitter-bootstrap,html5,26.23098337,undirected
sass,html5,32.07037666,undirected
angularjs,ionic-framework,29.84044577,undirected
android,ios,39.77803623,undirected
swift,ios,87.21964246,undirected
osx,ios,30.34158107,undirected
objective-c,ios,78.75928047,undirected
iphone,ios,57.15857406,undirected
xcode,ios,46.36509077,undirected
swift,iphone,36.02337467,undirected
xcode,iphone,34.71286507,undirected
ios,iphone,57.15857406,undirected
objective-c,iphone,47.9778876,undirected
spring,java,43.95425923,undirected
c++,java,23.20109566,undirected
jsp,java,21.61980304,undirected
java-ee,java,25.11618282,undirected
android,java,50.98473077,undirected
hibernate,java,32.5235651,undirected
c,java,26.0494593,undirected
spring-mvc,java,25.04121481,undirected
spring,java-ee,39.81210515,undirected
hibernate,java-ee,39.90817379,undirected
spring-mvc,java-ee,27.96459185,undirected
java,java-ee,25.11618282,undirected
jquery,javascript,57.84183153,undirected
twitter-bootstrap,javascript,20.23882304,undirected
node.js,javascript,42.73172932,undirected
mysql,javascript,22.91619072,undirected
angularjs,javascript,39.37662666,undirected
php,javascript,47.32815756,undirected
ajax,javascript,24.39914442,undirected
reactjs,javascript,33.5673591,undirected
css,javascript,75.5366001,undirected
html,javascript,59.75548884,undirected
sass,javascript,23.78246988,undirected
html5,javascript,47.00636376,undirected
git,jenkins,23.07544015,undirected
devops,jenkins,23.60258761,undirected
maven,jenkins,33.47708078,undirected
docker,jenkins,26.5286076,undirected
json,jquery,20.62957734,undirected
html,jquery,44.23362023,undirected
wordpress,jquery,28.8701706,undirected
sass,jquery,24.68172813,undirected
asp.net,jquery,28.72317822,undirected
php,jquery,46.6190909,undirected
css,jquery,66.6742057,undirected
html5,jquery,47.49277339,undirected
ajax,jquery,50.56672862,undirected
twitter-bootstrap,jquery,36.7919255,undirected
mysql,jquery,35.71297781,undirected
angularjs,jquery,30.34794743,undirected
twitter-bootstrap-3,jquery,21.15324325,undirected
javascript,jquery,57.84183153,undirected
codeigniter,jquery,26.72977131,undirected
bootstrap,jquery,22.40615465,undirected
rest,json,25.0494984,undirected
jquery,json,20.62957734,undirected
xml,json,42.72166846,undirected
ajax,json,32.94744601,undirected
hibernate,jsp,39.40694599,undirected
java,jsp,21.61980304,undirected
spring-mvc,jsp,24.06449025,undirected
spring,jsp,30.61333985,undirected
vue.js,laravel,28.79989665,undirected
php,laravel,45.88473321,undirected
mysql,laravel,20.23026605,undirected
codeigniter,laravel,31.65870932,undirected
sass,less,60.54594113,undirected
css,less,25.34053532,undirected
html5,less,20.92318767,undirected
wcf,linq,34.58709266,undirected
sql-server,linq,20.44479211,undirected
c#,linq,25.22293164,undirected
asp.net,linq,31.58127775,undirected
entity-framework,linq,54.00592956,undirected
.net,linq,20.50174386,undirected
wpf,linq,26.46839156,undirected
bash,linux,38.88811575,undirected
git,linux,27.70879277,undirected
unix,linux,25.35741287,undirected
osx,linux,23.41281494,undirected
ubuntu,linux,29.89434259,undirected
shell,linux,21.13179292,undirected
nginx,linux,21.08047845,undirected
windows,linux,29.94540077,undirected
python,linux,21.17036044,undirected
apache,linux,28.16821301,undirected
python,machine-learning,30.27077437,undirected
r,machine-learning,23.21869704,undirected
r,matlab,20.0219327,undirected
spring-mvc,maven,24.93380226,undirected
jenkins,maven,33.47708078,undirected
eclipse,maven,25.31465945,undirected
spring,maven,39.53022984,undirected
hibernate,maven,34.10005202,undirected
express,mongodb,48.76806081,undirected
node.js,mongodb,58.65780661,undirected
reactjs,mongodb,22.32097319,undirected
postgresql,mongodb,22.855557,undirected
mysql,mongodb,26.36926476,undirected
redis,mongodb,33.55473113,undirected
elasticsearch,mongodb,20.22800686,undirected
angularjs,mongodb,31.51071117,undirected
asp.net,mvc,22.82841216,undirected
css,mysql,27.01062249,undirected
jquery,mysql,35.71297781,undirected
mongodb,mysql,26.36926476,undirected
laravel,mysql,20.23026605,undirected
php,mysql,65.07025912,undirected
postgresql,mysql,25.90994249,undirected
javascript,mysql,22.91619072,undirected
html,mysql,21.35568889,undirected
ajax,mysql,24.80008942,undirected
apache,mysql,29.09783455,undirected
codeigniter,mysql,22.59688593,undirected
linux,nginx,21.08047845,undirected
redis,nginx,27.47314141,undirected
apache,nginx,48.58317346,undirected
javascript,node.js,42.73172932,undirected
reactjs,node.js,55.19274755,undirected
express,node.js,58.82907662,undirected
angularjs,node.js,47.56352703,undirected
mongodb,node.js,58.65780661,undirected
react-native,node.js,22.16325031,undirected
redux,node.js,23.40192325,undirected
xcode,objective-c,43.41882512,undirected
iphone,objective-c,47.9778876,undirected
swift,objective-c,79.08853578,undirected
ios,objective-c,78.75928047,undirected
osx,objective-c,24.76318983,undirected
sql,oracle,21.82760476,undirected
plsql,oracle,45.06151434,undirected
windows,osx,20.86024678,undirected
objective-c,osx,24.76318983,undirected
ios,osx,30.34158107,undirected
linux,osx,23.41281494,undirected
regex,perl,21.36407789,undirected
css,photoshop,20.85572142,undirected
css,php,51.44760491,undirected
laravel,php,45.88473321,undirected
wordpress,php,41.0370455,undirected
jquery,php,46.6190909,undirected
javascript,php,47.32815756,undirected
ajax,php,28.01067926,undirected
html,php,45.66104088,undirected
mysql,php,65.07025912,undirected
html5,php,32.35050692,undirected
codeigniter,php,37.40149646,undirected
oracle,plsql,45.06151434,undirected
sql,plsql,22.71744239,undirected
mysql,postgresql,25.90994249,undirected
redis,postgresql,26.28018174,undirected
ruby-on-rails,postgresql,25.69011033,undirected
mongodb,postgresql,22.855557,undirected
django,postgresql,22.48925264,undirected
ruby,postgresql,21.79517506,undirected
windows,powershell,20.2406906,undirected
flask,python,25.25137186,undirected
c++,python,24.30104567,undirected
machine-learning,python,30.27077437,undirected
django,python,49.90594295,undirected
c,python,22.32043225,undirected
r,python,28.53574785,undirected
linux,python,21.17036044,undirected
c++,qt,30.14466003,undirected
python,r,28.53574785,undirected
matlab,r,20.0219327,undirected
machine-learning,r,23.21869704,undirected
reactjs,react-native,61.53102297,undirected
redux,react-native,25.48058148,undirected
node.js,react-native,22.16325031,undirected
node.js,reactjs,55.19274755,undirected
sass,reactjs,24.99795881,undirected
react-native,reactjs,61.53102297,undirected
redux,reactjs,65.12985506,undirected
angularjs,reactjs,31.6202023,undirected
mongodb,reactjs,22.32097319,undirected
express,reactjs,31.92427259,undirected
javascript,reactjs,33.5673591,undirected
mongodb,redis,33.55473113,undirected
nginx,redis,27.47314141,undirected
elasticsearch,redis,29.34909868,undirected
postgresql,redis,26.28018174,undirected
reactjs,redux,65.12985506,undirected
node.js,redux,23.40192325,undirected
react-native,redux,25.48058148,undirected
express,redux,21.54345842,undirected
perl,regex,21.36407789,undirected
spring,rest,26.11759863,undirected
web-services,rest,33.69066908,undirected
api,rest,22.17558911,undirected
hibernate,rest,21.64666788,undirected
json,rest,25.0494984,undirected
postgresql,ruby,21.79517506,undirected
ruby-on-rails,ruby,95.36131071,undirected
postgresql,ruby-on-rails,25.69011033,undirected
ruby,ruby-on-rails,95.36131071,undirected
jquery,sass,24.68172813,undirected
javascript,sass,23.78246988,undirected
reactjs,sass,24.99795881,undirected
html,sass,23.63952924,undirected
html5,sass,32.07037666,undirected
less,sass,60.54594113,undirected
angularjs,sass,20.42587842,undirected
css,sass,40.96336127,undirected
twitter-bootstrap,sass,20.18548801,undirected
hadoop,scala,21.62593446,undirected
haskell,scala,22.75744001,undirected
apache-spark,scala,50.79184563,undirected
testing,selenium,33.6859431,undirected
bash,shell,24.71706557,undirected
linux,shell,21.13179292,undirected
web-services,spring,20.1656063,undirected
spring-mvc,spring,63.33021731,undirected
rest,spring,26.11759863,undirected
spring-boot,spring,57.04039266,undirected
maven,spring,39.53022984,undirected
java-ee,spring,39.81210515,undirected
hibernate,spring,103.2682845,undirected
jsp,spring,30.61333985,undirected
java,spring,43.95425923,undirected
spring,spring-boot,57.04039266,undirected
hibernate,spring-boot,30.23290371,undirected
spring-mvc,spring-boot,60.61682621,undirected
maven,spring-mvc,24.93380226,undirected
java-ee,spring-mvc,27.96459185,undirected
spring,spring-mvc,63.33021731,undirected
jsp,spring-mvc,24.06449025,undirected
spring-boot,spring-mvc,60.61682621,undirected
hibernate,spring-mvc,64.10989821,undirected
java,spring-mvc,25.04121481,undirected
plsql,sql,22.71744239,undirected
sql-server,sql,24.35477292,undirected
c#,sql,25.61390362,undirected
oracle,sql,21.82760476,undirected
asp.net,sql,21.67226461,undirected
asp.net-web-api,sql-server,25.67647418,undirected
wcf,sql-server,26.29146633,undirected
vb.net,sql-server,21.78889344,undirected
.net,sql-server,32.32252422,undirected
entity-framework,sql-server,32.62377909,undirected
asp.net,sql-server,59.67328949,undirected
linq,sql-server,20.44479211,undirected
sql,sql-server,24.35477292,undirected
c#,sql-server,45.91465124,undirected
xcode,swift,48.62033487,undirected
iphone,swift,36.02337467,undirected
objective-c,swift,79.08853578,undirected
ios,swift,87.21964246,undirected
agile,tdd,37.14658992,undirected
selenium,testing,33.6859431,undirected
angularjs,twitter-bootstrap,24.15368586,undirected
html5,twitter-bootstrap,26.23098337,undirected
sass,twitter-bootstrap,20.18548801,undirected
jquery,twitter-bootstrap,36.7919255,undirected
javascript,twitter-bootstrap,20.23882304,undirected
css,twitter-bootstrap,31.5640551,undirected
jquery,twitter-bootstrap-3,21.15324325,undirected
html5,twitter-bootstrap-3,22.16103641,undirected
angular2,typescript,38.87998223,undirected
angular,typescript,31.03648178,undirected
linux,ubuntu,29.89434259,undirected
c#,unity3d,25.00023347,undirected
linux,unix,25.35741287,undirected
asp.net,vb.net,23.71134628,undirected
sql-server,vb.net,21.78889344,undirected
c#,vb.net,25.18513596,undirected
excel-vba,vba,49.61621728,undirected
excel,vba,45.26074988,undirected
c#,visual-studio,27.71554343,undirected
laravel,vue.js,28.79989665,undirected
.net,wcf,28.07440043,undirected
entity-framework,wcf,32.81595165,undirected
c#,wcf,29.29988003,undirected
sql-server,wcf,26.29146633,undirected
wpf,wcf,53.17990346,undirected
linq,wcf,34.58709266,undirected
asp.net,wcf,40.95142173,undirected
asp.net-web-api,wcf,28.35653543,undirected
rest,web-services,33.69066908,undirected
hibernate,web-services,21.21095693,undirected
spring,web-services,20.1656063,undirected
powershell,windows,20.2406906,undirected
linux,windows,29.94540077,undirected
osx,windows,20.86024678,undirected
php,wordpress,41.0370455,undirected
html5,wordpress,22.21644075,undirected
css,wordpress,31.26482467,undirected
codeigniter,wordpress,25.13313077,undirected
drupal,wordpress,24.91929618,undirected
jquery,wordpress,28.8701706,undirected
linq,wpf,26.46839156,undirected
wcf,wpf,53.17990346,undirected
entity-framework,wpf,24.22820186,undirected
c#,wpf,38.95749218,undirected
asp.net,wpf,28.15902334,undirected
.net,wpf,32.35092522,undirected
c#,xamarin,24.67314755,undirected
objective-c,xcode,43.41882512,undirected
swift,xcode,48.62033487,undirected
iphone,xcode,34.71286507,undirected
ios,xcode,46.36509077,undirected
json,xml,42.72166846,undirected
